,product_id,product_type,product_name,size,colour,price,quantity_available_product,description,customer_id,gender,age,city,state,order_id,order_date,delivery_date,sales_id,price_per_unit,quantity_product_sales,total_price,profit_per_product (dollar),total_profit (dollars),discount_per_product,profit_per_product_official,season,delivery_time (days)
0,218,Shirt,Chambray,L,orange,105,44,"A orange coloured, L sized, Chambray Shirt",64,Genderfluid,75,Sanfordborough,South Australia,1,2021-08-30,2021-09-24,0,106,2,212,1,2,0.0,0.95,Winter,25
1,481,Jacket,Puffer,S,indigo,110,62,"A indigo coloured, S sized, Puffer Jacket",64,Genderfluid,75,Sanfordborough,South Australia,1,2021-08-30,2021-09-24,1,118,1,118,8,8,0.0,7.27,Winter,25
2,2,Shirt,Oxford Cloth,M,red,114,54,"A red coloured, M sized, Oxford Cloth Shirt",64,Genderfluid,75,Sanfordborough,South Australia,1,2021-08-30,2021-09-24,2,96,3,288,0,0,15.79,0.0,Winter,25
3,1002,Trousers,Wool,M,blue,111,52,"A blue coloured, M sized, Wool Trousers",64,Genderfluid,75,Sanfordborough,South Australia,1,2021-08-30,2021-09-24,3,106,2,212,0,0,4.5,0.0,Winter,25
4,691,Jacket,Parka,S,indigo,119,53,"A indigo coloured, S sized, Parka Jacket",64,Genderfluid,75,Sanfordborough,South Australia,1,2021-08-30,2021-09-24,4,113,3,339,0,0,5.04,0.0,Winter,25
5,981,Trousers,Wool,S,red,111,65,"A red coloured, S sized, Wool Trousers",64,Genderfluid,75,Sanfordborough,South Australia,1,2021-08-30,2021-09-24,5,106,3,318,0,0,4.5,0.0,Winter,25
6,915,Trousers,Drawstring,XS,orange,104,41,"A orange coloured, XS sized, Drawstring Trousers",473,Male,61,Annaton,South Australia,2,2021-02-03,2021-02-13,6,96,1,96,0,0,7.69,0.0,Summer,10
7,686,Jacket,Parka,S,blue,119,72,"A blue coloured, S sized, Parka Jacket",473,Male,61,Annaton,South Australia,2,2021-02-03,2021-02-13,7,113,1,113,0,0,5.04,0.0,Summer,10
8,1091,Trousers,Cropped,S,orange,99,78,"A orange coloured, S sized, Cropped Trousers",473,Male,61,Annaton,South Australia,2,2021-02-03,2021-02-13,8,115,3,345,16,48,0.0,16.16,Summer,10
9,1196,Trousers,Pleated,S,orange,90,72,"A orange coloured, S sized, Pleated Trousers",473,Male,61,Annaton,South Australia,2,2021-02-03,2021-02-13,9,105,1,105,15,15,0.0,16.67,Summer,10
10,157,Shirt,Linen,M,green,116,42,"A green coloured, M sized, Linen Shirt",473,Male,61,Annaton,South Australia,2,2021-02-03,2021-02-13,10,91,3,273,0,0,21.55,0.0,Summer,10
11,1174,Trousers,High-Waisted,XL,green,98,78,"A green coloured, XL sized, High-Waisted Trousers",473,Male,61,Annaton,South Australia,2,2021-02-03,2021-02-13,11,99,2,198,1,2,0.0,1.02,Summer,10
12,54,Shirt,Dress,XL,green,119,52,"A green coloured, XL sized, Dress Shirt",774,Genderqueer,34,West Jonathanshire,Tasmania,3,2021-10-08,2021-11-03,12,104,1,104,0,0,12.61,0.0,Spring,26
13,6,Shirt,Oxford Cloth,S,orange,114,72,"A orange coloured, S sized, Oxford Cloth Shirt",774,Genderqueer,34,West Jonathanshire,Tasmania,3,2021-10-08,2021-11-03,13,96,2,192,0,0,15.79,0.0,Spring,26
14,1010,Trousers,Wool,XS,violet,111,80,"A violet coloured, XS sized, Wool Trousers",774,Genderqueer,34,West Jonathanshire,Tasmania,3,2021-10-08,2021-11-03,14,106,2,212,0,0,4.5,0.0,Spring,26
15,1033,Trousers,Relaxed Leg,L,green,95,62,"A green coloured, L sized, Relaxed Leg Trousers",433,Non-binary,46,West Michaelport,Tasmania,4,2021-05-06,2021-05-19,15,90,1,90,0,0,5.26,0.0,Autumn,13
16,1184,Trousers,High-Waisted,XL,indigo,98,57,"A indigo coloured, XL sized, High-Waisted Trousers",433,Non-binary,46,West Michaelport,Tasmania,4,2021-05-06,2021-05-19,16,99,3,297,1,3,0.0,1.02,Autumn,13
17,769,Jacket,Peacoat,XL,violet,102,42,"A violet coloured, XL sized, Peacoat Jacket",433,Non-binary,46,West Michaelport,Tasmania,4,2021-05-06,2021-05-19,17,109,1,109,7,7,0.0,6.86,Autumn,13
18,923,Trousers,Drawstring,L,yellow,104,68,"A yellow coloured, L sized, Drawstring Trousers",433,Non-binary,46,West Michaelport,Tasmania,4,2021-05-06,2021-05-19,18,96,3,288,0,0,7.69,0.0,Autumn,13
19,12,Shirt,Oxford Cloth,M,yellow,114,56,"A yellow coloured, M sized, Oxford Cloth Shirt",433,Non-binary,46,West Michaelport,Tasmania,4,2021-05-06,2021-05-19,19,96,2,192,0,0,15.79,0.0,Autumn,13
20,148,Shirt,Linen,L,orange,116,73,"A orange coloured, L sized, Linen Shirt",441,Bigender,53,South Rileyview,Western Australia,5,2021-03-23,2021-03-24,20,91,2,182,0,0,21.55,0.0,Autumn,1
21,475,Jacket,Puffer,XS,blue,110,57,"A blue coloured, XS sized, Puffer Jacket",441,Bigender,53,South Rileyview,Western Australia,5,2021-03-23,2021-03-24,21,118,2,236,8,16,0.0,7.27,Autumn,1
22,1,Shirt,Oxford Cloth,S,red,114,53,"A red coloured, S sized, Oxford Cloth Shirt",441,Bigender,53,South Rileyview,Western Australia,5,2021-03-23,2021-03-24,22,96,3,288,0,0,15.79,0.0,Autumn,1
23,830,Jacket,Shearling,XS,indigo,95,68,"A indigo coloured, XS sized, Shearling Jacket",441,Bigender,53,South Rileyview,Western Australia,5,2021-03-23,2021-03-24,23,117,3,351,22,66,0.0,23.16,Autumn,1
24,1209,Trousers,Pleated,XL,green,90,55,"A green coloured, XL sized, Pleated Trousers",441,Bigender,53,South Rileyview,Western Australia,5,2021-03-23,2021-03-24,24,105,3,315,15,45,0.0,16.67,Autumn,1
25,635,Jacket,Coach,XS,orange,115,42,"A orange coloured, XS sized, Coach Jacket",441,Bigender,53,South Rileyview,Western Australia,5,2021-03-23,2021-03-24,25,93,3,279,0,0,19.13,0.0,Autumn,1
26,639,Jacket,Coach,XL,orange,115,46,"A orange coloured, XL sized, Coach Jacket",441,Bigender,53,South Rileyview,Western Australia,5,2021-03-23,2021-03-24,26,93,3,279,0,0,19.13,0.0,Autumn,1
27,695,Jacket,Parka,XS,violet,119,59,"A violet coloured, XS sized, Parka Jacket",441,Bigender,53,South Rileyview,Western Australia,5,2021-03-23,2021-03-24,27,113,1,113,0,0,5.04,0.0,Autumn,1
28,38,Shirt,Dress,L,red,119,79,"A red coloured, L sized, Dress Shirt",800,Bigender,49,Daughertyport,Queensland,6,2021-09-09,2021-10-05,28,104,2,208,0,0,12.61,0.0,Spring,26
29,473,Jacket,Puffer,L,green,110,43,"A green coloured, L sized, Puffer Jacket",800,Bigender,49,Daughertyport,Queensland,6,2021-09-09,2021-10-05,29,118,2,236,8,16,0.0,7.27,Spring,26
30,242,Shirt,Chambray,M,violet,105,72,"A violet coloured, M sized, Chambray Shirt",800,Bigender,49,Daughertyport,Queensland,6,2021-09-09,2021-10-05,30,106,1,106,1,1,0.0,0.95,Spring,26
31,804,Jacket,Pullover,XL,violet,114,69,"A violet coloured, XL sized, Pullover Jacket",800,Bigender,49,Daughertyport,Queensland,6,2021-09-09,2021-10-05,31,91,2,182,0,0,20.18,0.0,Spring,26
32,850,Trousers,Chinos,XS,yellow,100,41,"A yellow coloured, XS sized, Chinos Trousers",626,Genderqueer,64,Walterstad,New South Wales,7,2021-04-05,2021-04-11,32,113,2,226,13,26,0.0,13.0,Autumn,6
33,1162,Trousers,High-Waisted,M,orange,98,69,"A orange coloured, M sized, High-Waisted Trousers",626,Genderqueer,64,Walterstad,New South Wales,7,2021-04-05,2021-04-11,33,99,3,297,1,3,0.0,1.02,Autumn,6
34,765,Jacket,Peacoat,XS,violet,102,54,"A violet coloured, XS sized, Peacoat Jacket",58,Agender,39,Amelieburgh,New South Wales,8,2021-04-12,2021-05-01,34,109,1,109,7,7,0.0,6.86,Autumn,19
35,256,Shirt,Polo,S,yellow,117,77,"A yellow coloured, S sized, Polo Shirt",58,Agender,39,Amelieburgh,New South Wales,8,2021-04-12,2021-05-01,35,95,2,190,0,0,18.8,0.0,Autumn,19
36,203,Shirt,Camp Collared,L,indigo,112,72,"A indigo coloured, L sized, Camp Collared Shirt",852,Polygender,67,O'connertown,Tasmania,9,2021-05-01,2021-05-11,36,98,1,98,0,0,12.5,0.0,Autumn,10
37,486,Jacket,Puffer,S,violet,110,46,"A violet coloured, S sized, Puffer Jacket",852,Polygender,67,O'connertown,Tasmania,9,2021-05-01,2021-05-11,37,118,2,236,8,16,0.0,7.27,Autumn,10
38,708,Jacket,Trench Coat,L,orange,112,70,"A orange coloured, L sized, Trench Coat Jacket",852,Polygender,67,O'connertown,Tasmania,9,2021-05-01,2021-05-11,38,119,1,119,7,7,0.0,6.25,Autumn,10
